vocabulary size: 226
n tunes: 4083
n train tunes: 3891.0
n validation tunes: 192.0
min, max length 55 822
Building the model
  number of parameters: 10384102
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (32, None)
    EmbeddingLayer                   51076      (32, None, 226)
    InputLayer                       0          (32, None)
    GRULayer                         2465600    (32, None, 800)
    DropoutLayer                     0          (32, None, 800)
    GRULayer                         3843200    (32, None, 800)
    DropoutLayer                     0          (32, None, 800)
    GRULayer                         3843200    (32, None, 800)
    DropoutLayer                     0          (32, None, 800)
    ReshapeLayer                     0          (None, 800)
    DenseLayer                       181026     (None, 226)
Train model
Load metadata for resuming
setting learning rate to 0.0012402
19451/10943 (epoch 159.967) train_loss=686.69018555 time/batch=1.23s
19452/10943 (epoch 159.975) train_loss=613.91003418 time/batch=0.82s
19453/10943 (epoch 159.984) train_loss=1377.27368164 time/batch=1.67s
19454/10943 (epoch 159.992) train_loss=935.05316162 time/batch=1.47s
19455/10943 (epoch 160.000) train_loss=236.45858765 time/batch=0.49s
19456/10943 (epoch 160.008) train_loss=357.39266968 time/batch=0.55s
19457/10943 (epoch 160.016) train_loss=510.78723145 time/batch=0.83s
19458/10943 (epoch 160.025) train_loss=145.30642700 time/batch=0.31s
19459/10943 (epoch 160.033) train_loss=558.08563232 time/batch=0.87s
19460/10943 (epoch 160.041) train_loss=1106.49072266 time/batch=1.95s
19461/10943 (epoch 160.049) train_loss=1321.13476562 time/batch=3.21s
19462/10943 (epoch 160.058) train_loss=484.99710083 time/batch=0.97s
19463/10943 (epoch 160.066) train_loss=420.05389404 time/batch=0.67s
19464/10943 (epoch 160.074) train_loss=331.30136108 time/batch=0.57s
19465/10943 (epoch 160.082) train_loss=468.74664307 time/batch=0.74s
19466/10943 (epoch 160.090) train_loss=647.81597900 time/batch=1.04s
19467/10943 (epoch 160.099) train_loss=563.34942627 time/batch=0.93s
19468/10943 (epoch 160.107) train_loss=259.34851074 time/batch=0.48s
19469/10943 (epoch 160.115) train_loss=205.38543701 time/batch=0.35s
