vocabulary size: 226
n tunes: 4083
n train tunes: 3891.0
n validation tunes: 192.0
min, max length 55 822
Building the model
  number of parameters: 10384102
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (32, None)
    EmbeddingLayer                   51076      (32, None, 226)
    InputLayer                       0          (32, None)
    GRULayer                         2465600    (32, None, 800)
    GRULayer                         3843200    (32, None, 800)
    GRULayer                         3843200    (32, None, 800)
    ReshapeLayer                     0          (None, 800)
    DenseLayer                       181026     (None, 226)
Train model
Load metadata for resuming
setting learning rate to 0.0012402
19451/10943 (epoch 159.967) train_loss=614.59472656 time/batch=1.24s
19452/10943 (epoch 159.975) train_loss=650.22717285 time/batch=0.86s
19453/10943 (epoch 159.984) train_loss=1058.04748535 time/batch=1.69s
19454/10943 (epoch 159.992) train_loss=884.80725098 time/batch=1.49s
19455/10943 (epoch 160.000) train_loss=218.65457153 time/batch=0.49s
19456/10943 (epoch 160.008) train_loss=318.89721680 time/batch=0.55s
19457/10943 (epoch 160.016) train_loss=458.90515137 time/batch=0.84s
19458/10943 (epoch 160.025) train_loss=127.42412567 time/batch=0.31s
19459/10943 (epoch 160.033) train_loss=499.55938721 time/batch=0.89s
19460/10943 (epoch 160.041) train_loss=974.97082520 time/batch=1.94s
19461/10943 (epoch 160.049) train_loss=1193.20959473 time/batch=3.22s
19462/10943 (epoch 160.058) train_loss=440.77014160 time/batch=0.98s
19463/10943 (epoch 160.066) train_loss=379.83911133 time/batch=0.67s
19464/10943 (epoch 160.074) train_loss=291.24542236 time/batch=0.57s
19465/10943 (epoch 160.082) train_loss=423.04962158 time/batch=0.75s
19466/10943 (epoch 160.090) train_loss=577.05773926 time/batch=1.04s
19467/10943 (epoch 160.099) train_loss=501.03308105 time/batch=0.95s
19468/10943 (epoch 160.107) train_loss=231.47665405 time/batch=0.48s
19469/10943 (epoch 160.115) train_loss=179.52639771 time/batch=0.35s
19470/10943 (epoch 160.123) train_loss=246.16914368 time/batch=0.46s
19471/10943 (epoch 160.132) train_loss=399.86120605 time/batch=0.76s
