vocabulary size: 226
n tunes: 26239
n train tunes: 24959.0
n validation tunes: 1280.0
min, max length 55 997
Building the model
  number of parameters: 10384102
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (64, None)
    EmbeddingLayer                   51076      (64, None, 226)
    InputLayer                       0          (64, None)
    GRULayer                         2465600    (64, None, 800)
    DropoutLayer                     0          (64, None, 800)
    GRULayer                         3843200    (64, None, 800)
    DropoutLayer                     0          (64, None, 800)
    GRULayer                         3843200    (64, None, 800)
    DropoutLayer                     0          (64, None, 800)
    ReshapeLayer                     0          (None, 800)
    DenseLayer                       181026     (None, 226)
Train model
1/19499 (epoch 0.003) train_loss=2353.93750000 time/batch=1.95s
2/19499 (epoch 0.005) train_loss=2443.35644531 time/batch=3.37s
3/19499 (epoch 0.008) train_loss=1132.85791016 time/batch=1.75s
4/19499 (epoch 0.010) train_loss=2014.62353516 time/batch=2.77s
5/19499 (epoch 0.013) train_loss=1107.82690430 time/batch=1.96s
6/19499 (epoch 0.015) train_loss=427.98742676 time/batch=0.89s
7/19499 (epoch 0.018) train_loss=274.07977295 time/batch=0.49s
8/19499 (epoch 0.021) train_loss=2345.88085938 time/batch=3.90s
9/19499 (epoch 0.023) train_loss=1450.24926758 time/batch=2.71s
10/19499 (epoch 0.026) train_loss=638.70239258 time/batch=1.27s
11/19499 (epoch 0.028) train_loss=776.03491211 time/batch=1.28s
12/19499 (epoch 0.031) train_loss=769.72045898 time/batch=1.32s
13/19499 (epoch 0.033) train_loss=387.67898560 time/batch=0.79s
14/19499 (epoch 0.036) train_loss=473.81829834 time/batch=0.79s
15/19499 (epoch 0.038) train_loss=192.84963989 time/batch=0.41s
16/19499 (epoch 0.041) train_loss=1214.47717285 time/batch=1.81s
17/19499 (epoch 0.044) train_loss=241.89978027 time/batch=0.72s
18/19499 (epoch 0.046) train_loss=628.72399902 time/batch=0.98s
19/19499 (epoch 0.049) train_loss=1472.88891602 time/batch=2.36s
20/19499 (epoch 0.051) train_loss=331.76956177 time/batch=0.91s
21/19499 (epoch 0.054) train_loss=1078.84741211 time/batch=1.60s
22/19499 (epoch 0.056) train_loss=341.22705078 time/batch=0.79s
23/19499 (epoch 0.059) train_loss=1042.31884766 time/batch=1.62s
24/19499 (epoch 0.062) train_loss=908.19696045 time/batch=1.60s
25/19499 (epoch 0.064) train_loss=944.05303955 time/batch=1.62s
26/19499 (epoch 0.067) train_loss=222.65808105 time/batch=0.58s
27/19499 (epoch 0.069) train_loss=2115.23168945 time/batch=4.58s
28/19499 (epoch 0.072) train_loss=669.12023926 time/batch=1.77s
29/19499 (epoch 0.074) train_loss=1201.15222168 time/batch=1.94s
30/19499 (epoch 0.077) train_loss=448.40917969 time/batch=1.01s
31/19499 (epoch 0.079) train_loss=991.82910156 time/batch=1.56s
32/19499 (epoch 0.082) train_loss=795.77258301 time/batch=1.41s
33/19499 (epoch 0.085) train_loss=686.59899902 time/batch=1.22s
34/19499 (epoch 0.087) train_loss=1141.43493652 time/batch=1.84s
35/19499 (epoch 0.090) train_loss=262.52493286 time/batch=0.71s
36/19499 (epoch 0.092) train_loss=444.68026733 time/batch=0.72s
37/19499 (epoch 0.095) train_loss=813.52294922 time/batch=1.29s
38/19499 (epoch 0.097) train_loss=978.05407715 time/batch=1.65s
39/19499 (epoch 0.100) train_loss=636.49499512 time/batch=1.19s
40/19499 (epoch 0.103) train_loss=429.63122559 time/batch=0.82s
41/19499 (epoch 0.105) train_loss=438.25390625 time/batch=0.77s
