vocabulary size: 226
n tunes: 4083
n train tunes: 3891.0
n validation tunes: 192.0
min, max length 55 822
Building the model
  number of parameters: 13769702
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (32, None)
    EmbeddingLayer                   51076      (32, None, 226)
    InputLayer                       0          (32, None)
    LSTMLayer                        3288000    (32, None, 800)
    DropoutLayer                     0          (32, None, 800)
    LSTMLayer                        5124800    (32, None, 800)
    DropoutLayer                     0          (32, None, 800)
    LSTMLayer                        5124800    (32, None, 800)
    DropoutLayer                     0          (32, None, 800)
    ReshapeLayer                     0          (None, 800)
    DenseLayer                       181026     (None, 226)
Train model
Load metadata for resuming
setting learning rate to 0.0012402
19501/10943 (epoch 160.378) train_loss=339.49468994 time/batch=1.48s
19502/10943 (epoch 160.387) train_loss=230.60008240 time/batch=1.03s
19503/10943 (epoch 160.395) train_loss=577.68188477 time/batch=2.10s
19504/10943 (epoch 160.403) train_loss=449.03851318 time/batch=1.87s
19505/10943 (epoch 160.411) train_loss=120.72408295 time/batch=0.64s
19506/10943 (epoch 160.419) train_loss=163.69671631 time/batch=0.70s
19507/10943 (epoch 160.428) train_loss=242.92605591 time/batch=1.04s
19508/10943 (epoch 160.436) train_loss=77.38169861 time/batch=0.40s
19509/10943 (epoch 160.444) train_loss=265.83605957 time/batch=1.10s
19510/10943 (epoch 160.452) train_loss=559.57690430 time/batch=2.43s
19511/10943 (epoch 160.461) train_loss=632.55090332 time/batch=4.00s
19512/10943 (epoch 160.469) train_loss=209.13890076 time/batch=1.21s
19513/10943 (epoch 160.477) train_loss=188.83122253 time/batch=0.83s
19514/10943 (epoch 160.485) train_loss=159.22454834 time/batch=0.71s
19515/10943 (epoch 160.493) train_loss=218.80204773 time/batch=0.93s
19516/10943 (epoch 160.502) train_loss=303.18994141 time/batch=1.30s
19517/10943 (epoch 160.510) train_loss=269.25085449 time/batch=1.16s
19518/10943 (epoch 160.518) train_loss=132.83935547 time/batch=0.59s
19519/10943 (epoch 160.526) train_loss=110.16403961 time/batch=0.44s
