vocabulary size: 226
n tunes: 4083
n train tunes: 3891.0
n validation tunes: 192.0
min, max length 55 822
Building the model
  number of parameters: 13769702
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (32, None)
    EmbeddingLayer                   51076      (32, None, 226)
    InputLayer                       0          (32, None)
    LSTMLayer                        3288000    (32, None, 800)
    LSTMLayer                        5124800    (32, None, 800)
    LSTMLayer                        5124800    (32, None, 800)
    ReshapeLayer                     0          (None, 800)
    DenseLayer                       181026     (None, 226)
Train model
Load metadata for resuming
setting learning rate to 0.0012402
19501/10943 (epoch 160.378) train_loss=291.84906006 time/batch=1.41s
19502/10943 (epoch 160.387) train_loss=196.49217224 time/batch=1.05s
19503/10943 (epoch 160.395) train_loss=503.97845459 time/batch=2.08s
19504/10943 (epoch 160.403) train_loss=386.23352051 time/batch=1.85s
19505/10943 (epoch 160.411) train_loss=102.18589783 time/batch=0.63s
19506/10943 (epoch 160.419) train_loss=135.11770630 time/batch=0.69s
19507/10943 (epoch 160.428) train_loss=202.89425659 time/batch=1.05s
19508/10943 (epoch 160.436) train_loss=67.21449280 time/batch=0.39s
19509/10943 (epoch 160.444) train_loss=216.67680359 time/batch=1.10s
19510/10943 (epoch 160.452) train_loss=465.49853516 time/batch=2.42s
19511/10943 (epoch 160.461) train_loss=530.12573242 time/batch=3.99s
19512/10943 (epoch 160.469) train_loss=173.47793579 time/batch=1.22s
19513/10943 (epoch 160.477) train_loss=157.03950500 time/batch=0.82s
19514/10943 (epoch 160.485) train_loss=130.83486938 time/batch=0.71s
19515/10943 (epoch 160.493) train_loss=178.75915527 time/batch=0.92s
19516/10943 (epoch 160.502) train_loss=251.97216797 time/batch=1.27s
19517/10943 (epoch 160.510) train_loss=222.47589111 time/batch=1.16s
19518/10943 (epoch 160.518) train_loss=112.33743286 time/batch=0.59s
19519/10943 (epoch 160.526) train_loss=94.76509094 time/batch=0.43s
19520/10943 (epoch 160.535) train_loss=110.80329132 time/batch=0.56s
19521/10943 (epoch 160.543) train_loss=173.05555725 time/batch=0.92s
