vocabulary size: 226
n tunes: 26240
n train tunes: 24960.0
n validation tunes: 1280.0
min, max length 2 997
Building the model
  number of parameters: 13769702
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (64, None)
    EmbeddingLayer                   51076      (64, None, 226)
    InputLayer                       0          (64, None)
    LSTMLayer                        3288000    (64, None, 800)
    DropoutLayer                     0          (64, None, 800)
    LSTMLayer                        5124800    (64, None, 800)
    DropoutLayer                     0          (64, None, 800)
    LSTMLayer                        5124800    (64, None, 800)
    DropoutLayer                     0          (64, None, 800)
    ReshapeLayer                     0          (None, 800)
    DenseLayer                       181026     (None, 226)
Train model
1/19500 (epoch 0.003) train_loss=2319.81933594 time/batch=2.46s
2/19500 (epoch 0.005) train_loss=3192.90478516 time/batch=4.22s
3/19500 (epoch 0.008) train_loss=975.68847656 time/batch=2.17s
4/19500 (epoch 0.010) train_loss=2268.67041016 time/batch=3.41s
5/19500 (epoch 0.013) train_loss=1507.59289551 time/batch=2.57s
6/19500 (epoch 0.015) train_loss=300.12811279 time/batch=0.87s
7/19500 (epoch 0.018) train_loss=2426.02124023 time/batch=4.84s
8/19500 (epoch 0.021) train_loss=1608.79101562 time/batch=3.37s
9/19500 (epoch 0.023) train_loss=1462.53417969 time/batch=1.54s
10/19500 (epoch 0.026) train_loss=836.53100586 time/batch=1.56s
11/19500 (epoch 0.028) train_loss=808.82275391 time/batch=1.58s
12/19500 (epoch 0.031) train_loss=404.20388794 time/batch=0.94s
13/19500 (epoch 0.033) train_loss=476.11465454 time/batch=0.97s
14/19500 (epoch 0.036) train_loss=196.99752808 time/batch=0.50s
15/19500 (epoch 0.038) train_loss=1252.57128906 time/batch=2.17s
16/19500 (epoch 0.041) train_loss=254.08071899 time/batch=0.85s
17/19500 (epoch 0.044) train_loss=641.05975342 time/batch=1.19s
18/19500 (epoch 0.046) train_loss=1505.76892090 time/batch=2.88s
19/19500 (epoch 0.049) train_loss=1076.40576172 time/batch=2.32s
20/19500 (epoch 0.051) train_loss=341.53463745 time/batch=0.94s
21/19500 (epoch 0.054) train_loss=1056.71362305 time/batch=1.93s
22/19500 (epoch 0.056) train_loss=2145.70385742 time/batch=5.89s
23/19500 (epoch 0.059) train_loss=508.43942261 time/batch=1.93s
24/19500 (epoch 0.062) train_loss=651.58557129 time/batch=1.28s
25/19500 (epoch 0.064) train_loss=1191.34521484 time/batch=2.25s
26/19500 (epoch 0.067) train_loss=465.49365234 time/batch=1.17s
27/19500 (epoch 0.069) train_loss=992.02062988 time/batch=1.86s
28/19500 (epoch 0.072) train_loss=808.85498047 time/batch=1.71s
29/19500 (epoch 0.074) train_loss=707.08551025 time/batch=1.47s
30/19500 (epoch 0.077) train_loss=592.78442383 time/batch=1.24s
31/19500 (epoch 0.079) train_loss=1082.25756836 time/batch=2.05s
32/19500 (epoch 0.082) train_loss=258.92132568 time/batch=0.83s
33/19500 (epoch 0.085) train_loss=437.77996826 time/batch=0.85s
34/19500 (epoch 0.087) train_loss=813.28625488 time/batch=1.55s
35/19500 (epoch 0.090) train_loss=987.59930420 time/batch=1.97s
36/19500 (epoch 0.092) train_loss=610.35876465 time/batch=1.33s
37/19500 (epoch 0.095) train_loss=443.28399658 time/batch=0.96s
38/19500 (epoch 0.097) train_loss=445.23361206 time/batch=0.93s
39/19500 (epoch 0.100) train_loss=239.82144165 time/batch=0.58s
40/19500 (epoch 0.103) train_loss=570.01928711 time/batch=1.09s
41/19500 (epoch 0.105) train_loss=336.90103149 time/batch=0.80s
42/19500 (epoch 0.108) train_loss=718.89221191 time/batch=1.37s
43/19500 (epoch 0.110) train_loss=451.48330688 time/batch=1.05s
44/19500 (epoch 0.113) train_loss=794.56457520 time/batch=1.54s
