vocabulary size: 226
n tunes: 4083
n train tunes: 3891.0
n validation tunes: 192.0
min, max length 55 822
Building the model
  number of parameters: 10384102
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (32, None)
    EmbeddingLayer                   51076      (32, None, 226)
    InputLayer                       0          (32, None)
    GRULayer                         2465600    (32, None, 800)
    DropoutLayer                     0          (32, None, 800)
    GRULayer                         3843200    (32, None, 800)
    DropoutLayer                     0          (32, None, 800)
    GRULayer                         3843200    (32, None, 800)
    DropoutLayer                     0          (32, None, 800)
    ReshapeLayer                     0          (None, 800)
    DenseLayer                       181026     (None, 226)
Train model
Load metadata for resuming
setting learning rate to 0.0030000
7781/10943 (epoch 63.992) train_loss=455.67004395 time/batch=1.18s
7782/10943 (epoch 64.000) train_loss=353.04379272 time/batch=0.80s
7783/10943 (epoch 64.008) train_loss=790.32641602 time/batch=1.63s
7784/10943 (epoch 64.016) train_loss=620.18225098 time/batch=1.44s
7785/10943 (epoch 64.025) train_loss=160.96194458 time/batch=0.47s
7786/10943 (epoch 64.033) train_loss=235.60264587 time/batch=0.54s
7787/10943 (epoch 64.041) train_loss=341.88778687 time/batch=0.82s
7788/10943 (epoch 64.049) train_loss=98.98066711 time/batch=0.30s
7789/10943 (epoch 64.058) train_loss=373.60327148 time/batch=0.87s
7790/10943 (epoch 64.066) train_loss=759.91680908 time/batch=1.92s
7791/10943 (epoch 64.074) train_loss=879.57604980 time/batch=3.15s
7792/10943 (epoch 64.082) train_loss=290.59326172 time/batch=0.95s
7793/10943 (epoch 64.090) train_loss=279.08523560 time/batch=0.66s
7794/10943 (epoch 64.099) train_loss=217.98600769 time/batch=0.55s
7795/10943 (epoch 64.107) train_loss=315.82904053 time/batch=0.73s
7796/10943 (epoch 64.115) train_loss=423.46792603 time/batch=1.02s
7797/10943 (epoch 64.123) train_loss=371.45294189 time/batch=0.92s
7798/10943 (epoch 64.132) train_loss=177.30169678 time/batch=0.46s
7799/10943 (epoch 64.140) train_loss=142.14294434 time/batch=0.34s
